Variable,GX DataType,Device,Type,Elements,Type Size,Bit Place
Custom_SpindleRPM,FLOAT (Single Precision)(0..4),9305,Float,5,2,
Custom_SpindleDIR,Word[Signed](0..4),9315,Word,5,1,
Custom_ShuttleDwell,Word[Signed](0..4),9320,Word,5,1,
Custom_BrushID,Word[Signed](0..4),9325,Word,5,1,
Custom_BrushDIR,Word[Signed](0..4),9330,Word,5,1,
Custom_BrushRPM,Word[Signed](0..4),9335,Word,5,1,
Custom_Cycles,Word[Signed](0..4),9340,Word,5,1,
Custom_HorizDwell,Word[Signed](0..4),9345,Word,5,1,
Custom_ToolXStart,FLOAT (Single Precision)(0..4),9350,Float,5,2,
Custom_ToolXEnd,FLOAT (Single Precision)(0..4),9360,Float,5,2,
Custom_ToolXSpeed,FLOAT (Single Precision)(0..4),9370,Float,5,2,
Custom_ToolRXStart,FLOAT (Single Precision)(0..4),9380,Float,5,2,
Custom_ToolRXEnd,FLOAT (Single Precision)(0..4),9390,Float,5,2,
Custom_ToolRXSpeed,FLOAT (Single Precision)(0..4),9400,Float,5,2,
Custom_BrushRZStart,FLOAT (Single Precision)(0..4),9410,Float,5,2,
Custom_BrushRZEnd,FLOAT (Single Precision)(0..4),9420,Float,5,2,
Custom_BrushRZSpeed,FLOAT (Single Precision)(0..4),9430,Float,5,2,
Custom_BrushYStart,FLOAT (Single Precision)(0..4),9440,Float,5,2,
Custom_BrushYEnd,FLOAT (Single Precision)(0..4),9450,Float,5,2,
Custom_BrushYSpeed,FLOAT (Single Precision)(0..4),9460,Float,5,2,
Custom_BrushZStart,FLOAT (Single Precision)(0..4),9470,Float,5,2,
Custom_BrushZEnd,FLOAT (Single Precision)(0..4),9480,Float,5,2,
Custom_BrushZSpeed,FLOAT (Single Precision)(0..4),9490,Float,5,2,
